"","feature","task","shap_phi","fname","group","taxa"
"1","awc_top",1,1.67035922362851,"awc_top","hydro","Abart"
"2","bio_1",1,4.92162722100729,"TMeanY","temperature","Abart"
"3","bio_10",1,1.19654060788069,"TMeanWarmQ","temperature","Abart"
"4","bio_11",1,2.57434465593445,"TMeanColdQ","temperature","Abart"
"5","bio_12",1,5.25051578974899,"PTotY","precipitation","Abart"
"6","bio_13",1,1.38036720178992,"PWetM","precipitation","Abart"
"7","bio_14",1,12.4699607062719,"PDryM","precipitation","Abart"
"8","bio_15",1,16.6891450050887,"PSeason","precipitation","Abart"
"9","bio_16",1,18.138099116651,"PWetQ","precipitation","Abart"
"10","bio_17",1,1.27950470878492,"PDryQ","precipitation","Abart"
"11","bio_18",1,21.7590433901848,"PWarmQ","precipitation","Abart"
"12","bio_19",1,3.01788635243302,"PColdQ","precipitation","Abart"
"13","bio_2",1,14.960661507163,"TMeanRngD","temperature","Abart"
"14","bio_3",1,26.1109271990795,"TIso","temperature","Abart"
"15","bio_4",1,14.9222107680306,"TSeason","temperature","Abart"
"16","bio_5",1,9.60882237994689,"TMaxWarmM","temperature","Abart"
"17","bio_6",1,2.86911461154114,"TMinColdM","temperature","Abart"
"18","bio_7",1,19.8359355909629,"TRngY","temperature","Abart"
"19","bio_8",1,12.107852908035,"TMeanWetQ","temperature","Abart"
"20","bio_9",1,58.3449808558056,"TMeanDryQ","temperature","Abart"
"21","bs_top",1,26.2694575126837,"bs_top","hydro","Abart"
"22","Carbone",1,1.12057096407929,"C","physchem","Abart"
"23","cec_top",1,28.7661000417688,"cec_top","hydro","Abart"
"24","clay",1,6.77211145234685,"clay","structural","Abart"
"25","clc",1,18.136916176168,"clc","landcover","Abart"
"26","CN",1,22.1900181292444,"CN","physchem","Abart"
"27","crusting",1,33.8364209499606,"crusting","structural","Abart"
"28","dgh",1,2.95536015672903,"dgh","structural","Abart"
"29","dimp",1,1.62451288248976,"dimp","structural","Abart"
"30","erodi",1,20.4927992518401,"erodi","structural","Abart"
"31","parmado",1,17.3656618111601,"parmado","structural","Abart"
"32","pd_top",1,27.3020518845297,"pd_top","structural","Abart"
"33","pH",1,52.214027909589,"pH","physchem","Abart"
"34","proxi_eau_fast",1,0.453668032089516,"proxi_eau_fast","hydro","Abart"
"35","silt",1,2.47565228617409,"silt","structural","Abart"
"36","wr",1,13.4045692229007,"wr","hydro","Abart"
"37","awc_top",2,12.4724517497075,"awc_top","hydro","Alchae"
"38","bio_1",2,14.4276829033215,"TMeanY","temperature","Alchae"
"39","bio_10",2,18.2841521735718,"TMeanWarmQ","temperature","Alchae"
"40","bio_11",2,24.1253693159746,"TMeanColdQ","temperature","Alchae"
"41","bio_12",2,2.28127471789707,"PTotY","precipitation","Alchae"
"42","bio_13",2,15.1019813869188,"PWetM","precipitation","Alchae"
"43","bio_14",2,13.2309837856566,"PDryM","precipitation","Alchae"
"44","bio_15",2,16.0774653996778,"PSeason","precipitation","Alchae"
"45","bio_16",2,8.64639870077108,"PWetQ","precipitation","Alchae"
"46","bio_17",2,16.8567220771533,"PDryQ","precipitation","Alchae"
"47","bio_18",2,18.2526552014647,"PWarmQ","precipitation","Alchae"
"48","bio_19",2,33.9882423072538,"PColdQ","precipitation","Alchae"
"49","bio_2",2,46.9506655448754,"TMeanRngD","temperature","Alchae"
"50","bio_3",2,38.3943481151143,"TIso","temperature","Alchae"
"51","bio_4",2,17.7037413847554,"TSeason","temperature","Alchae"
"52","bio_5",2,39.2369740438429,"TMaxWarmM","temperature","Alchae"
"53","bio_6",2,3.56019788400938,"TMinColdM","temperature","Alchae"
"54","bio_7",2,28.8369703969621,"TRngY","temperature","Alchae"
"55","bio_8",2,3.33885051659726,"TMeanWetQ","temperature","Alchae"
"56","bio_9",2,14.7736506211163,"TMeanDryQ","temperature","Alchae"
"57","bs_top",2,2.22345646278707,"bs_top","hydro","Alchae"
"58","Carbone",2,5.88293741862514,"C","physchem","Alchae"
"59","cec_top",2,2.68507273149595,"cec_top","hydro","Alchae"
"60","clay",2,7.56409640696469,"clay","structural","Alchae"
"61","clc",2,23.6681623008222,"clc","landcover","Alchae"
"62","CN",2,29.2215903166003,"CN","physchem","Alchae"
"63","crusting",2,18.6853235392527,"crusting","structural","Alchae"
"64","dgh",2,1.66377532103945,"dgh","structural","Alchae"
"65","dimp",2,6.27064764038759,"dimp","structural","Alchae"
"66","erodi",2,9.98801004583797,"erodi","structural","Alchae"
"67","parmado",2,18.9940334230084,"parmado","structural","Alchae"
"68","pd_top",2,38.397183989173,"pd_top","structural","Alchae"
"69","pH",2,20.8104307985307,"pH","physchem","Alchae"
"70","proxi_eau_fast",2,0.885538931672173,"proxi_eau_fast","hydro","Alchae"
"71","silt",2,2.40675489015293,"silt","structural","Alchae"
"72","wr",2,20.8074878359712,"wr","hydro","Alchae"
"73","awc_top",3,22.0710044358298,"awc_top","hydro","Alchlo"
"74","bio_1",3,9.17535617172718,"TMeanY","temperature","Alchlo"
"75","bio_10",3,2.0628695114702,"TMeanWarmQ","temperature","Alchlo"
"76","bio_11",3,7.9141220046021,"TMeanColdQ","temperature","Alchlo"
"77","bio_12",3,8.54267981974408,"PTotY","precipitation","Alchlo"
"78","bio_13",3,55.2843085842207,"PWetM","precipitation","Alchlo"
"79","bio_14",3,34.6822102683969,"PDryM","precipitation","Alchlo"
"80","bio_15",3,46.6067035792954,"PSeason","precipitation","Alchlo"
"81","bio_16",3,8.65307596933097,"PWetQ","precipitation","Alchlo"
"82","bio_17",3,19.0009599584341,"PDryQ","precipitation","Alchlo"
"83","bio_18",3,35.883169066105,"PWarmQ","precipitation","Alchlo"
"84","bio_19",3,26.4831011029892,"PColdQ","precipitation","Alchlo"
"85","bio_2",3,8.94615010648966,"TMeanRngD","temperature","Alchlo"
"86","bio_3",3,62.7626386626065,"TIso","temperature","Alchlo"
"87","bio_4",3,26.629380033426,"TSeason","temperature","Alchlo"
"88","bio_5",3,11.1318702825904,"TMaxWarmM","temperature","Alchlo"
"89","bio_6",3,36.4262136328965,"TMinColdM","temperature","Alchlo"
"90","bio_7",3,42.1016727055795,"TRngY","temperature","Alchlo"
"91","bio_8",3,33.4331401082687,"TMeanWetQ","temperature","Alchlo"
"92","bio_9",3,27.7649868472107,"TMeanDryQ","temperature","Alchlo"
"93","bs_top",3,43.3118186850101,"bs_top","hydro","Alchlo"
"94","Carbone",3,15.8306276781857,"C","physchem","Alchlo"
"95","cec_top",3,12.0323506917618,"cec_top","hydro","Alchlo"
"96","clay",3,4.85040141627193,"clay","structural","Alchlo"
"97","clc",3,88.3776309308223,"clc","landcover","Alchlo"
"98","CN",3,27.4470517054014,"CN","physchem","Alchlo"
"99","crusting",3,38.0272557397746,"crusting","structural","Alchlo"
"100","dgh",3,29.992369190082,"dgh","structural","Alchlo"
"101","dimp",3,2.71562587987632,"dimp","structural","Alchlo"
"102","erodi",3,44.8216816830635,"erodi","structural","Alchlo"
"103","parmado",3,27.9687662945688,"parmado","structural","Alchlo"
"104","pd_top",3,34.2937797758356,"pd_top","structural","Alchlo"
"105","pH",3,12.8203680404462,"pH","physchem","Alchlo"
"106","proxi_eau_fast",3,2.01761638214812,"proxi_eau_fast","hydro","Alchlo"
"107","silt",3,9.54127899426967,"silt","structural","Alchlo"
"108","wr",3,7.10506249552593,"wr","hydro","Alchlo"
"109","awc_top",4,5.2564520805655,"awc_top","hydro","AlChlo_ChIn"
"110","bio_1",4,10.3054819062282,"TMeanY","temperature","AlChlo_ChIn"
"111","bio_10",4,3.38230006414233,"TMeanWarmQ","temperature","AlChlo_ChIn"
"112","bio_11",4,21.82434623037,"TMeanColdQ","temperature","AlChlo_ChIn"
"113","bio_12",4,20.2180692707794,"PTotY","precipitation","AlChlo_ChIn"
"114","bio_13",4,81.2495130568952,"PWetM","precipitation","AlChlo_ChIn"
